09/22/2025-18:30:42.701012  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.702050  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.703062  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.704154  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.706289  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.709754  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.711687  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.713568  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.715492  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.717645  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.719557  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.721079  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.722964  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.724555  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.726330  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.728132  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.729623  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.731055  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.732272  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
